name,pos.clean,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.sh,assist1.sh,assist2.sh,points.sh,goals.en,assist1.en,assist2.en,points.en,goals.ps,goals.ev,assist1.ev,assist2.ev,points.ev,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,gfev,gaev,gfen,gaen,gfpp,gapp,gfsh,gash,team.GA.EV
Kevin Davis,D,Everett Silvertips,1997-03-14,71,178,10,32,23,65,2,21,14,37,1,0,0,1,0,1,0,1,0,7,10,9,26,2017 - 18 Regular Season,44,73,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,66,37,4,6,1,0,2,1,120
Keoni Texeira,D,Portland Winterhawks,1997-03-24,64,94,9,13,11,33,2,5,2,9,0,1,0,1,1,2,2,5,0,6,5,7,18,2017 - 18 Regular Season,52,57,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,46,46,7,4,0,0,4,2,136
Glenn Gawdin,F,Swift Current Broncos,1997-03-25,67,270,56,37,32,125,21,11,15,47,3,3,0,6,3,3,1,7,1,28,20,16,64,2017 - 18 Regular Season,51,111,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,94,45,11,2,0,0,6,4,138
Nick Chyzowski,F,Kamloops Blazers,1997-06-03,72,203,20,14,12,46,10,2,4,16,0,0,0,0,1,0,1,2,0,9,12,7,28,2017 - 18 Regular Season,69,48,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,45,54,2,10,0,0,1,5,147
Jayden Halbgewachs,F,Moose Jaw Warriors,1997-03-22,72,290,70,39,20,129,27,7,5,39,2,0,0,2,5,0,1,6,0,36,32,14,82,2017 - 18 Regular Season,72,115,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,104,64,8,3,0,0,3,5,147
Aaron Boyd,F,Prince George Cougars,1997-05-24,67,162,14,14,10,38,0,1,2,3,2,0,0,2,0,1,0,1,0,12,12,8,32,2017 - 18 Regular Season,53,50,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,45,46,2,3,0,0,3,4,201
Brad Morrison,F,Lethbridge Hurricanes,1997-01-04,74,170,27,31,17,75,11,9,4,24,0,0,0,0,0,4,1,5,0,16,18,12,46,2017 - 18 Regular Season,71,61,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,57,53,4,8,0,0,0,10,163
Tate Olson,D,Lethbridge Hurricanes,1997-03-21,54,112,2,10,12,24,1,3,5,9,0,0,0,0,0,0,1,1,0,1,7,6,14,2017 - 18 Regular Season,60,47,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,43,50,4,7,0,0,0,3,163
Tyler Soy,F,Victoria Royals,1997-02-10,66,164,36,35,21,92,12,14,12,38,4,1,0,5,0,0,0,0,0,20,20,9,49,2017 - 18 Regular Season,59,74,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,67,44,0,10,0,0,7,5,159
Austin Strand,D,Seattle Thunderbirds,1997-02-17,69,201,25,18,21,64,14,5,9,28,0,0,0,0,0,2,0,2,0,11,11,12,34,2017 - 18 Regular Season,83,81,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,77,71,3,9,0,0,1,3,170
Brayden Burke,F,Moose Jaw Warriors,1997-01-01,61,179,31,47,35,113,5,17,20,42,2,2,0,4,2,0,0,2,0,22,28,15,65,2017 - 18 Regular Season,41,85,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,78,36,3,2,0,0,4,3,147
Grayson Pawlenchuk,F,Red Deer Rebels,1997-03-22,72,195,18,19,15,52,4,9,9,22,0,0,0,0,0,0,1,1,0,14,10,5,29,2017 - 18 Regular Season,62,54,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,51,48,2,8,0,0,1,6,162
Matt Bradley,F,Regina Pats,1997-01-22,72,305,37,26,16,79,8,7,11,26,1,1,0,2,2,1,0,3,1,25,17,5,47,2017 - 18 Regular Season,66,68,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,61,52,5,8,0,0,2,6,139
Giorgio Estephan,F,Lethbridge Hurricanes,1997-02-03,69,203,30,27,29,86,16,11,12,39,0,0,0,0,1,2,0,3,0,13,14,17,44,2017 - 18 Regular Season,69,60,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,56,53,4,10,0,0,0,6,163
Matteo Gennaro,F,Calgary Hitmen,1997-03-30,67,265,42,23,14,79,16,4,7,27,2,0,0,2,1,0,1,2,0,23,19,6,48,2017 - 18 Regular Season,50,64,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,57,44,4,4,0,0,3,2,178
Brady Reagan,D,Calgary Hitmen,1997-08-14,66,85,2,10,2,14,0,4,0,4,0,0,0,0,0,1,0,1,0,2,5,2,9,2017 - 18 Regular Season,48,43,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,38,44,4,2,0,0,1,2,178
Jakob Stukel,F,Calgary Hitmen,1997-03-06,71,239,37,17,10,64,5,2,6,13,2,0,0,2,1,2,0,3,1,28,13,4,45,2017 - 18 Regular Season,65,65,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,59,52,4,7,0,0,2,6,178
Braylon Shmyr,F,Saskatoon Blades,1997-05-16,72,253,37,40,11,88,9,14,4,27,0,1,0,1,4,2,0,6,0,24,23,7,54,2017 - 18 Regular Season,86,84,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,75,68,8,11,0,0,1,7,182
Regan Nagy,F,Prince Albert Raiders,1997-05-11,57,130,25,9,11,45,6,2,6,14,1,0,0,1,0,0,0,0,0,18,7,5,30,2017 - 18 Regular Season,45,50,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,49,40,0,5,0,0,1,0,177
Alec Baer,F,Kootenay ICE,1997-08-25,72,223,30,17,14,61,8,6,9,23,0,0,0,0,0,0,0,0,0,22,11,5,38,2017 - 18 Regular Season,76,53,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,52,59,1,7,0,0,0,10,193
Chaz Reddekopp,D,Victoria Royals,1997-01-01,46,82,7,14,10,31,1,3,5,9,0,0,1,1,0,0,0,0,0,6,11,4,21,2017 - 18 Regular Season,45,47,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,41,36,2,6,0,0,4,3,159
Jesse Gabrielle,F,Regina Pats,1997-06-17,27,82,13,3,3,19,6,0,1,7,0,0,0,0,0,0,0,0,0,7,3,2,12,2017 - 18 Regular Season,25,19,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,19,21,0,0,0,0,0,4,139
Matt Fonteyne,F,Everett Silvertips,1997-11-30,72,270,35,26,27,88,16,10,15,41,0,1,0,1,0,0,1,1,0,19,15,11,45,2017 - 18 Regular Season,50,75,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,67,40,6,8,0,0,2,2,120
Hudson Elynuik,F,Spokane Chiefs,1997-10-12,71,230,31,32,23,86,6,7,7,20,2,5,0,7,3,1,0,4,0,20,19,16,55,2017 - 18 Regular Season,57,81,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,69,51,5,3,0,0,7,3,166
Shane Collins,D,Prince George Cougars,1997-02-20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,5,2,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,1,5,0,0,0,0,1,0,201
Joe Gatenby,D,Kamloops Blazers,1997-05-15,72,167,13,26,20,59,5,13,7,25,0,0,0,0,0,1,0,1,0,8,12,13,33,2017 - 18 Regular Season,69,82,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,77,55,4,9,0,0,1,5,147
Davis Koch,F,Edmonton Oil Kings,1998-06-13,68,151,22,24,12,58,7,7,5,19,1,0,0,1,0,1,0,1,0,14,16,7,37,2017 - 18 Regular Season,72,56,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,52,59,3,5,0,0,1,8,177
Tyler Steenbergen,F,Swift Current Broncos,1998-01-07,56,241,47,24,31,102,10,10,11,31,1,0,0,1,3,1,2,6,0,33,13,18,64,2017 - 18 Regular Season,39,91,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,80,32,9,3,0,0,2,4,138
Turner Ottenbreit,D,Seattle Thunderbirds,1997-07-09,64,158,9,21,17,47,2,8,7,17,1,1,0,2,0,0,1,1,0,6,12,9,27,2017 - 18 Regular Season,72,87,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,80,65,4,6,0,0,3,1,170
Nolan Reid,D,Spokane Chiefs,1998-03-24,72,159,14,9,13,36,6,3,7,16,0,0,0,0,0,0,1,1,0,8,6,5,19,2017 - 18 Regular Season,63,66,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,60,59,2,2,0,0,4,2,166
Cameron Hebig,F,Regina Pats,1997-01-21,66,303,41,26,23,90,13,10,7,30,5,1,0,6,3,1,1,5,0,20,14,15,49,2017 - 18 Regular Season,64,77,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,65,51,5,8,0,0,7,5,139
Patrick Bajkov,F,Everett Silvertips,1997-11-27,72,255,33,37,30,100,11,16,13,40,2,0,0,2,2,0,1,3,0,18,21,16,55,2017 - 18 Regular Season,54,72,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,65,43,3,8,1,0,3,3,120
Curtis Miske,F,Prince Albert Raiders,1997-01-17,72,170,27,20,17,64,4,7,10,21,1,1,0,2,2,0,0,2,0,20,12,7,39,2017 - 18 Regular Season,56,65,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,59,47,2,3,0,0,4,6,177
Jeff Faith,D,Spokane Chiefs,1998-01-06,60,51,5,8,4,17,0,0,0,0,0,0,1,1,0,0,0,0,0,5,8,3,16,2017 - 18 Regular Season,19,32,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,31,19,0,0,0,0,1,0,166
Evan Fiala,D,Saskatoon Blades,1997-06-07,71,114,7,3,10,20,0,0,0,0,0,0,0,0,1,0,0,1,0,6,3,10,19,2017 - 18 Regular Season,74,72,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,63,70,5,3,0,0,4,1,182
Jake Toporowski,D,Spokane Chiefs,1998-02-19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,1,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,1,0,0,0,0,0,0,0,166
Brett Howden,F,Moose Jaw Warriors,1998-03-29,49,141,24,31,20,75,5,10,8,23,2,2,1,5,1,1,0,2,0,16,18,11,45,2017 - 18 Regular Season,40,69,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,59,34,5,1,0,0,5,5,147
Ryan Bowen,F,Lethbridge Hurricanes,1998-12-10,13,18,1,4,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,5,2017 - 18 Regular Season,5,7,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,6,5,1,0,0,0,0,0,163
Brendan O'Reilly,F,Tri-City Americans,1997-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,0,0,0,0,0,0,0,0,173
Parker AuCoin,F,Tri-City Americans,1998-07-30,61,121,19,12,9,40,7,5,1,13,4,0,0,4,1,0,0,1,0,7,7,8,22,2017 - 18 Regular Season,44,39,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,33,40,2,3,0,0,4,1,173
Jordan Topping,F,Tri-City Americans,1997-07-20,72,246,38,22,20,80,12,6,13,31,0,0,0,0,1,1,0,2,0,25,15,7,47,2017 - 18 Regular Season,76,63,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,59,67,4,5,0,0,0,4,173
Dylan Coghlan,F,Tri-City Americans,1998-02-19,69,245,17,26,20,63,7,13,10,30,0,0,0,0,0,0,0,0,0,10,13,10,33,2017 - 18 Regular Season,84,80,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,68,76,8,5,0,0,4,3,173
Taylor Ross,F,Lethbridge Hurricanes,1998-02-20,64,113,21,8,13,42,8,2,6,16,0,0,0,0,3,0,0,3,0,10,6,7,23,2017 - 18 Regular Season,48,40,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,37,37,3,7,0,0,0,4,163
Josh Anderson,D,Prince George Cougars,1998-08-29,54,90,3,6,5,14,1,1,0,2,0,0,0,0,0,0,0,0,0,2,5,5,12,2017 - 18 Regular Season,40,47,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,40,39,3,1,0,0,4,0,201
Kody McDonald,F,Prince Albert Raiders,1998-04-07,68,210,34,19,13,66,9,4,5,18,2,1,0,3,0,0,0,0,0,23,14,8,45,2017 - 18 Regular Season,64,67,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,61,46,1,12,0,0,5,6,177
Jake Kryski,F,Calgary Hitmen,1998-03-08,71,143,16,29,11,56,5,6,5,16,0,0,0,0,0,0,0,0,0,11,23,6,40,2017 - 18 Regular Season,54,52,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,51,44,0,2,0,0,1,8,178
Kyle Yewchuk,D,Lethbridge Hurricanes,1998-04-05,8,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017 - 18 Regular Season,6,4,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,3,6,1,0,0,0,0,0,163
Jordan Dawson,D,Edmonton Oil Kings,1998-02-27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,1,0,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,0,1,0,0,0,0,0,0,201
David Quenneville,D,Medicine Hat Tigers,1998-03-13,70,314,26,30,24,80,12,13,7,32,0,1,0,1,3,0,0,3,0,11,16,17,44,2017 - 18 Regular Season,88,95,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,88,71,3,12,0,0,4,5,180
Ryan Jevne,F,Medicine Hat Tigers,1998-04-08,69,166,20,13,14,47,5,4,4,13,3,0,0,3,1,0,0,1,1,10,9,10,29,2017 - 18 Regular Season,62,52,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,42,52,6,8,0,0,4,2,180
Dawson Martin,F,Red Deer Rebels,1998-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,0,0,0,0,0,0,0,0,162
Caleb Fantillo,F,Saskatoon Blades,1998-04-21,38,54,7,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,2,9,2017 - 18 Regular Season,26,17,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,17,24,0,2,0,0,0,0,182
Mark Rassell,F,Medicine Hat Tigers,1997-02-28,70,310,50,27,3,80,7,8,2,17,1,2,0,3,0,1,0,1,1,41,16,1,58,2017 - 18 Regular Season,80,79,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,74,63,1,12,0,0,4,5,180
Mason Shaw,F,Medicine Hat Tigers,1998-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,0,0,0,0,0,0,0,0,180
Jared Dmytriw,F,Red Deer Rebels,1998-06-06,71,152,15,7,4,26,3,0,2,5,1,0,0,1,2,0,0,2,0,9,7,2,18,2017 - 18 Regular Season,61,42,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,38,55,3,5,0,0,1,1,162
Matthew Phillips,F,Victoria Royals,1998-04-06,71,273,48,40,24,112,17,16,11,44,5,4,0,9,0,0,0,0,1,25,20,13,58,2017 - 18 Regular Season,65,84,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,75,50,0,11,0,0,9,4,159
Dillon Dube,F,Kelowna Rockets,1998-07-20,53,235,38,27,19,84,9,5,10,24,3,0,1,4,3,0,0,3,0,23,22,8,53,2017 - 18 Regular Season,57,74,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,66,50,4,4,0,0,4,3,161
Skyler McKenzie,F,Portland Winterhawks,1998-01-20,72,268,47,26,14,87,14,6,2,22,5,1,1,7,5,2,0,7,1,22,17,11,50,2017 - 18 Regular Season,52,91,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,72,42,10,9,0,0,9,1,136
Kaden Elder,F,Swift Current Broncos,1998-03-16,67,132,18,9,5,32,2,1,2,5,1,0,0,1,1,2,0,3,0,14,6,3,23,2017 - 18 Regular Season,45,44,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,39,44,4,1,0,0,1,0,138
Nolan Volcan,F,Seattle Thunderbirds,1998-07-04,70,238,32,27,17,76,10,7,5,22,1,1,0,2,2,1,1,4,0,19,18,11,48,2017 - 18 Regular Season,75,72,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,65,62,4,7,0,0,3,6,170
Josh Mahura,D,Regina Pats,1998-05-05,60,190,22,26,21,69,10,9,10,29,0,0,0,0,0,1,0,1,0,12,16,11,39,2017 - 18 Regular Season,50,86,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,80,39,4,6,0,0,2,5,139
Jeff de Wit,F,Kootenay ICE,1998-03-14,43,74,11,6,3,20,3,2,2,7,1,0,0,1,1,0,0,1,0,6,4,1,11,2017 - 18 Regular Season,25,20,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,17,20,2,1,0,0,1,4,139
Mason McCarty,F,Red Deer Rebels,1997-01-26,69,222,38,26,10,74,8,4,3,15,0,0,0,0,2,2,0,4,0,28,20,7,55,2017 - 18 Regular Season,59,67,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,61,46,6,7,0,0,0,6,162
Tyler Benson,F,Vancouver Giants,1998-03-15,58,232,27,28,14,69,4,10,7,21,1,1,1,3,3,2,0,5,0,19,15,6,40,2017 - 18 Regular Season,56,55,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,47,48,5,3,0,0,3,5,177
Ty Ronning,F,Vancouver Giants,1997-10-20,70,339,61,15,8,84,18,4,2,24,2,0,0,2,6,1,0,7,0,35,10,6,51,2017 - 18 Regular Season,64,76,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,67,52,7,4,0,0,2,8,177
Matt Barberis,D,Vancouver Giants,1998-01-19,56,134,3,14,13,30,1,9,5,15,0,0,0,0,0,0,1,1,0,2,5,7,14,2017 - 18 Regular Season,55,52,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,47,47,4,2,0,0,1,6,177
Luke Coleman,F,Calgary Hitmen,1998-09-09,72,183,15,18,6,39,5,4,2,11,3,0,0,3,0,1,0,1,0,7,13,4,24,2017 - 18 Regular Season,53,44,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,40,49,1,4,0,0,3,0,178
Tanner Kaspick,F,Brandon Wheat Kings,1998-01-28,60,194,25,26,13,64,7,10,4,21,0,4,1,5,4,1,0,5,0,14,11,8,33,2017 - 18 Regular Season,40,64,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,53,34,5,3,0,0,6,3,164
Nolan Patrick,F,Brandon Wheat Kings,1998-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,0,0,0,0,0,0,0,0,164
Kale Clague,D,Brandon Wheat Kings,1998-06-05,54,182,11,31,29,71,5,13,12,30,1,2,0,3,0,0,1,1,0,5,16,16,37,2017 - 18 Regular Season,53,94,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,80,45,7,2,0,0,7,6,164
Colton Kroeker,F,Kootenay ICE,1997-01-21,68,174,15,31,15,61,2,11,4,17,2,1,0,3,0,1,0,1,0,11,18,11,40,2017 - 18 Regular Season,73,56,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,52,56,1,10,0,0,3,7,193
Sam Steel,F,Regina Pats,1998-02-03,54,195,33,36,14,83,11,18,5,34,3,4,0,7,3,1,0,4,0,16,13,9,38,2017 - 18 Regular Season,39,65,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,53,29,5,6,0,0,7,4,139
Kade Jensen,D,Brandon Wheat Kings,1997-05-03,58,92,7,7,3,17,0,2,1,3,0,0,0,0,0,1,1,2,0,7,4,1,12,2017 - 18 Regular Season,52,61,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,53,51,4,1,0,0,4,0,164
Rykr Cole,F,Spokane Chiefs,1997-04-29,8,10,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2017 - 18 Regular Season,8,9,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,9,8,0,0,0,0,0,0,166
Dante Hannoun,F,Victoria Royals,1998-08-02,66,169,25,31,23,79,9,16,14,39,1,1,0,2,0,0,0,0,0,15,14,9,38,2017 - 18 Regular Season,72,66,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,63,55,1,11,0,0,2,6,159
Jermaine Loewen,F,Kamloops Blazers,1998-01-18,66,185,36,16,12,64,9,4,2,15,0,0,0,0,4,0,1,5,0,23,12,9,44,2017 - 18 Regular Season,50,65,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,59,34,6,11,0,0,0,5,147
Colton Veloso,F,Kootenay ICE,1997-06-27,71,156,25,10,12,47,11,0,4,15,1,1,0,2,0,0,0,0,0,13,9,8,30,2017 - 18 Regular Season,74,45,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,41,65,1,5,0,0,3,4,193
Kolby Johnson,F,Prince Albert Raiders,1998-05-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,1,0,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,0,1,0,0,0,0,0,0,177
Jaeger White,F,Medicine Hat Tigers,1998-04-03,68,116,10,16,8,34,0,3,3,6,0,0,0,0,0,0,0,0,0,10,13,5,28,2017 - 18 Regular Season,40,41,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,41,37,0,1,0,0,0,2,180
Beck Malenstyn,F,Calgary Hitmen,1998-02-04,42,110,17,13,2,32,4,1,0,5,3,2,0,5,1,1,0,2,0,9,9,2,20,2017 - 18 Regular Season,29,41,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,32,26,3,2,0,0,6,1,178
Quinn Benjafield,F,Kamloops Blazers,1998-02-02,69,175,19,17,11,47,4,5,4,13,0,0,0,0,1,1,0,2,0,14,11,7,32,2017 - 18 Regular Season,56,49,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,47,42,2,9,0,0,0,5,147
Ryely McKinstry,D,Calgary Hitmen,1998-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,0,0,0,0,0,0,0,0,178
Morgan Geekie,F,Tri-City Americans,1998-07-20,68,246,30,35,19,84,8,18,7,33,0,0,0,0,1,0,0,1,0,21,17,12,50,2017 - 18 Regular Season,71,71,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,69,64,2,4,0,0,0,3,173
Tyson Helgesen,D,Spokane Chiefs,1997-06-10,72,138,6,11,12,29,0,1,1,2,0,0,0,0,0,1,1,2,0,6,9,10,25,2017 - 18 Regular Season,63,82,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,69,59,8,2,0,0,5,2,166
Tomas Soustal,F,Edmonton Oil Kings,1997-02-15,69,159,22,24,16,62,6,6,8,20,2,2,0,4,0,0,0,0,1,13,16,8,37,2017 - 18 Regular Season,84,63,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,58,75,1,2,0,0,4,7,161
Noah Gregor,F,Moose Jaw Warriors,1998-07-28,60,240,29,18,18,65,10,6,8,24,0,0,0,0,1,0,0,1,0,18,12,10,40,2017 - 18 Regular Season,56,63,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,60,48,3,5,0,0,0,3,147
Blake Bargar,F,Seattle Thunderbirds,1998-03-06,58,90,11,9,4,24,1,0,0,1,0,0,0,0,2,1,0,3,0,8,8,4,20,2017 - 18 Regular Season,43,38,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,34,41,4,2,0,0,0,0,170
Josh Brook,D,Moose Jaw Warriors,1999-06-17,45,106,3,13,16,32,1,8,3,12,0,1,0,1,0,0,1,1,0,2,4,12,18,2017 - 18 Regular Season,30,78,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,70,28,3,2,0,0,5,0,147
Colin Paradis,D,Moose Jaw Warriors,1998-04-27,66,42,2,3,9,14,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,9,13,2017 - 18 Regular Season,54,55,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,47,54,4,0,0,0,4,0,147
Jaret Anderson-Dolan,F,Spokane Chiefs,1999-09-12,70,280,40,28,23,91,13,10,7,30,5,2,0,7,2,1,0,3,1,19,15,16,50,2017 - 18 Regular Season,70,79,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,66,60,4,5,0,0,9,5,166
Dom Schmiemann,D,Calgary Hitmen,1999-04-02,68,67,1,5,8,14,0,1,1,2,0,0,1,1,0,0,0,0,0,1,4,6,11,2017 - 18 Regular Season,54,51,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,44,52,1,0,0,0,6,2,178
Tyler Adams,F,Seattle Thunderbirds,1997-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,0,0,0,0,0,0,0,0,170
Colby Sissons,D,Swift Current Broncos,1998-01-15,72,204,13,36,22,71,5,18,9,32,0,2,1,3,0,0,0,0,0,8,16,12,36,2017 - 18 Regular Season,64,110,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,96,56,9,3,0,0,5,5,138
Hayden Ostir,F,Medicine Hat Tigers,1999-07-06,41,92,9,11,6,26,3,4,2,9,0,0,0,0,0,0,1,1,0,6,7,3,16,2017 - 18 Regular Season,41,25,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,24,36,1,3,0,0,0,2,180
Kailer Yamamoto,F,Spokane Chiefs,1998-09-29,40,111,21,27,16,64,4,6,8,18,3,1,0,4,0,2,0,2,0,14,18,8,40,2017 - 18 Regular Season,39,61,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,50,32,6,4,0,0,5,3,166
Dalton Hamaliuk,D,Spokane Chiefs,1998-03-21,71,65,4,8,4,16,0,0,0,0,0,0,1,1,0,0,0,0,0,4,8,3,15,2017 - 18 Regular Season,51,59,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,53,51,1,0,0,0,5,0,166
Ryan Vandervlis,F,Lethbridge Hurricanes,1998-05-23,19,52,11,7,1,19,1,4,1,6,0,0,0,0,0,1,0,1,0,10,2,0,12,2017 - 18 Regular Season,21,19,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,18,17,1,2,0,0,0,2,163
Zach Fischer,F,Medicine Hat Tigers,1997-07-19,46,176,22,6,8,36,5,1,0,6,0,0,0,0,0,0,0,0,0,17,5,8,30,2017 - 18 Regular Season,34,47,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,46,31,1,2,0,0,0,1,180
