name,pos.clean,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.sh,assist1.sh,assist2.sh,points.sh,goals.en,assist1.en,assist2.en,points.en,goals.ps,goals.ev,assist1.ev,assist2.ev,points.ev,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,gfev,gaev,gfen,gaen,gfpp,gapp,gfsh,gash,team.GA.EV
Orca Wiesblatt,F,Calgary Hitmen,2000-06-02,49,30,5,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,13,2017 - 18 Regular Season,22,20,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,20,21,0,0,0,0,0,1,178
Parker Hendren,D,Vancouver Giants,2001-03-23,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,8,3,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,3,8,0,0,0,0,0,0,177
Alec Zawatsky,F,Saskatoon Blades,1999-12-15,43,55,3,4,1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,1,7,2017 - 18 Regular Season,25,15,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,15,22,0,1,0,0,0,2,182
Payton McIssac,D,Saskatoon Blades,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,0,0,0,0,0,0,0,0,182
Greyson Stewart,F,Swift Current Broncos,2001-08-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,0,0,0,0,0,0,0,0,138
Chad Nychuk,D,Brandon Wheat Kings,2001-03-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,2,2,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,2,2,0,0,0,0,0,0,164
Mike MacLean,F,Seattle Thunderbirds,1998-07-09,38,17,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2017 - 18 Regular Season,5,5,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,5,5,0,0,0,0,0,0,170
Carter Spenst,D,Swift Current Broncos,2001-07-12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,1,0,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,0,1,0,0,0,0,0,0,138
Holden Kodak,F,Kootenay ICE,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,2,0,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,0,2,0,0,0,0,0,0,193
Alex Morozoff,F,Red Deer Rebels,2001-05-30,30,28,6,1,1,8,3,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,5,2017 - 18 Regular Season,10,9,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,9,8,0,1,0,0,0,1,162
Gage Goncalves,F,Everett Silvertips,2001-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,0,0,0,0,0,0,0,0,120
Jacob Boucher,F,Lethbridge Hurricanes,2002-03-21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,1,0,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,0,1,0,0,0,0,0,0,163
Matthew Culling,F,Edmonton Oil Kings,2001-03-16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,3,0,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,0,3,0,0,0,0,0,0,201
Blake Stevenson,F,Tri-City Americans,2001-01-12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,3,0,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,0,3,0,0,0,0,0,0,173
Michael Horon,F,Lethbridge Hurricanes,2001-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,0,0,0,0,0,0,0,0,163
Jonathon Lambos,D,Brandon Wheat Kings,2001-01-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,3,0,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,0,3,0,0,0,0,0,0,164
Eli Lieffers,F,Kootenay ICE,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,1,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,1,0,0,0,0,0,0,0,193
Sean Gulka,F,Spokane Chiefs,2000-02-15,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2017 - 18 Regular Season,2,1,2232,2232,281,260,209,750,63,63,61,187,193,179,139,511,1,2,0,0,0,0,0,0,166
